Municipio,Latitud,Longitud,Nombre,Categoría,Distancia,Dirección
algete,40.5961652,-3.4974246,La Esquinita de Pablo,bares,92,"Limón Verde, 7, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,El Mexi Bar de Copas,bares,146,"Calle Limon Verde, 3, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Freedom,bares,146,"Calle Limón Verde, 3, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Aurelio Bar,bares,335,"Calle de Felix Rodriguez de la Fuente, 9, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Bar la Alegria,bares,392,"Felix Rodriguez de la Fuente Nº11, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Las tapas de algete,bares,459,"Calle de Valdeamor, 32, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,La Isla,bares,460,"Calle de los Olivos, 18, 28110 Algete Comunidad de Madrid"
algete,40.5961652,-3.4974246,Dadelos,bares,462,"Calle de Pio Baroja, 1, 28110 Algete Comunidad de Madrid"
alpedrete,40.6599005,-4.0251223,Parque de las Columnas,parques,290,Comunidad de Madrid
alpedrete,40.6599005,-4.0251223,Parque de Juegos,parques,622,"Carretera M-619 (En Frente De Caferería Feijoo), 28430 Alpedrete Comunidad de Madrid"
alpedrete,40.6599005,-4.0251223,Parque de Juegos,parques,629,"Carretera M619 (En Frente De Cafetería Feijoo), 28430 Alpedrete Comunidad de Madrid"
